id,biomass
1,1.438578294
2,0.937862343
3,1.779087582
4,1.17787109
5,0.861079082
6,2.019517184
7,1.852544838
8,1.449003664
9,0.974115101
10,1.213080416
11,1.587427608
12,2.292275499
13,1.886692852
14,1.308811605
15,1.839405277
16,1.938985641
17,1.296406174
18,1.406691808
19,0.45233517
20,1.015677272
21,1.914533502
22,1.779176348
23,1.254763068
24,1.426995124
25,1.242026347
26,1.454520201
27,1.260009492
28,0.692932462
29,1.558958837
30,1.609426499
31,1.607970689
32,1.283238083
33,1.252356892
34,2.018484533
35,1.165176918
36,1.127999984
37,1.548251123
38,1.976711773
39,0.80613094
40,1.434074755
41,1.088454166
42,0.396839573
43,1.133070509
44,1.628625415
45,0.898920111
46,1.616161015
47,1.057358558
48,1.064400566
49,1.12913622
50,1.257601422
51,1.566171541
52,1.443662694
53,1.487670085
54,1.124085299
55,0.94187976
56,1.148915039
57,1.255173933
58,1.66917188
59,1.11619327
60,1.117412156
61,1.362568535
62,1.907413613
63,1.621378236
64,1.131589564
65,1.710102294
66,1.528682624
67,0.943275046
68,0.920351583
69,0.991046216
70,1.211962102
71,1.344842916
72,1.831324774
73,1.520052574
74,1.021852586
75,1.400056725
76,1.32403605
77,1.014610268
78,1.671273224
79,1.306237574
80,0.793606803
81,1.750475537
82,1.321549562
83,1.469064273
84,1.594272934
85,1.117685901
86,0.707114825
87,0.870312926
88,0.753229127
89,1.171118076
90,1.327203835
91,1.144131866
92,1.006462411
93,1.71274966
94,1.240442101
95,1.488908919
96,1.147910315
97,1.305297308
98,1.433260907
99,1.270381711
100,1.120025263
101,1.243901857
102,0.988135129
103,0.754263988
104,1.046042512
105,1.146313325
106,0.333541711
107,0.891687136
108,0.963144216
109,1.145378324
110,1.176878174
111,0.785714236
112,1.424411069
113,0.926009215
114,1.160220552
115,1.339018634
116,1.15063999
117,1.014121531
118,1.001212539
119,1.254733444
120,1.18974406
121,1.362056274
122,0.841238309
123,1.043933491
124,1.046321011
125,1.134017786
126,0.887850611
127,1.138349923
128,0.662118057
129,0.99423598
130,1.096585659
131,1.204545547
132,0.939022051
133,0.811179343
134,0.920188395
135,1.056383992
136,0.891035001
137,0.857248127
138,0.950733692
139,0.882014768
140,1.123810336
141,0.769561353
142,1.187246928
143,1.112461442
144,0.751374102
145,0.995400501
146,1.164816404
147,1.389439516
148,1.209372872
149,1.103388156
150,0.432437973
151,0.407209105
152,0.865868433
153,0.649682492
154,0.738040525
155,0.892403416
156,0.991700649
157,0.645394756
158,0.585544002
159,0.719787159
160,0.935283094
161,0.760876965
162,0.892986023
163,0.419683693
164,0.731514672
165,0.468817581
166,0.748847825
167,0.801508866
168,0.671949601
169,0.380116298
170,0.522228141
171,0.306490021
172,0.834137164
173,0.286411551
174,0.526024244
175,0.595142071
176,0.465270803
177,0.54243999
178,0.400088397
179,0.600847666
180,0.101601117
181,0.438356241
182,0.64869629
183,0.405491118
184,0.672634563
185,0.423359515
186,0.624471848
187,0.664946738
188,0.582655194
189,0.247386318
190,0.303887987
191,0.08307834
192,0.195246473
193,0.228588985
194,0.16942863
195,0.179227617
196,0.220314459
197,0.27074532
198,0.174295087
199,0.169046133
200,0.188886051
R_parent,1.74
S_parent,0.18
